accession,tax_selection,group,taxon_name,taxon_id,assembly_level,category,gs,k_gs,bb,k1_bb,hapaxes,entropy,genome_size,acgt_bases,gc_content,annotated_genes,protein_coding_genes,non_coding_genes
GCF_030296715.1,Archaea,archaea,Methanobacterium ferruginis,710191,Complete Genome,representative genome,0.210392796,9,0.211159511,21,96.125975782,0.359333335,2803797,2803797,37.5,2864,2644,53
GCF_025913575.1,Archaea,archaea,Halocatena marina,2934937,Complete Genome,representative genome,0.379648118,9,0.057584107,21,99.721680702,0.300488716,3957008,3957008,54.5,3786,3709,51
GCF_009729055.1,Archaea,archaea,Sulfurisphaera ohwakuensis,69656,Complete Genome,representative genome,0.133619651,10,0.280857964,21,95.963008601,0.615783752,2803915,2803915,32.5,3080,2926,51
GCF_020217425.1,Archaea,archaea,Halomicrobium urmianum,1586233,Complete Genome,representative genome,0.277289479,10,0.254770775,22,95.940278918,0.489984788,4254704,4254704,67.5,4293,4144,65
GCF_000215995.1,Archaea,archaea,Pyrococcus yayanosii CH1,529709,Complete Genome,representative genome,0.405083895,8,0.098183287,20,99.473729583,0.203867727,1716818,1716818,51.5,1953,1857,61
GCF_024227435.1,Archaea,archaea,Natrinema caseinilyticum,2961570,Complete Genome,representative genome,0.338513901,9,0.073706017,22,99.51396843,0.253590167,4771358,4771358,63.0,4639,4430,57
GCF_000007185.1,Archaea,archaea,Methanopyrus kandleri AV19,190192,Complete Genome,representative genome,0.243722153,8,0.065992577,20,99.676450442,0.207224838,1694969,1694969,61.0,1822,1774,40
GCF_006274605.1,Archaea,archaea,Thermococcus indicus,2586643,Complete Genome,representative genome,0.378640598,8,0.109012659,21,99.396321347,0.168812569,2234010,2234010,55.0,2452,2357,52
GCF_000812185.1,Archaea,archaea,Candidatus Nitrosopelagicus brevis,1410606,Complete Genome,representative genome,0.1755338,9,0.080308966,20,99.547929607,0.50865825,1232128,1232128,33.0,1506,1456,47
GCF_001190965.1,Archaea,archaea,Haloferax gibbonsii,35746,Complete Genome,representative genome,0.331338525,9,0.087148061,21,99.306136334,0.273356988,3918454,3918454,66.0,3930,3844,65
GCF_000299395.1,Archaea,archaea,Candidatus Nitrosopumilus sediminis,1229909,Complete Genome,representative genome,0.179372238,9,0.084590413,20,99.456734195,0.445034381,1690905,1690905,33.5,2129,2078,48
GCF_020614395.1,Archaea,archaea,Salarchaeum japonicum,555573,Complete Genome,representative genome,0.349049573,9,0.059657531,21,99.643730595,0.342056208,2339281,2339281,67.5,2616,2560,52
GCF_021233415.1,Archaea,archaea,Halobacterium litoreum,2039234,Complete Genome,representative genome,0.351394823,9,0.07241943,21,99.477217121,0.302263302,2709004,2709004,68.5,2980,2920,52
GCF_000025865.1,Archaea,archaea,Methanohalophilus mahii DSM 5219,547558,Complete Genome,representative genome,0.261729798,8,0.13631649,20,98.545620064,0.182442976,2012424,2012424,42.5,2077,1992,64
GCF_029225785.1,Archaea,archaea,Haloferax lucentense,2254,Complete Genome,representative genome,0.326123586,9,0.151397533,21,98.897802236,0.281231695,3784795,3784795,66.0,3829,3724,63
GCF_020618475.1,Archaea,archaea,Haladaptatus halobius,2884875,Complete Genome,representative genome,0.301822534,9,0.128890642,22,98.472220333,0.195584996,7279389,7279389,57.5,7673,7335,63
GCF_024508235.1,Archaea,archaea,Halococcus qingdaonensis,224402,Complete Genome,representative genome,0.333710489,9,0.112780611,21,98.847180911,0.33862807,2703393,2703393,65.0,2821,2734,52
GCF_000230735.2,Archaea,archaea,Natrinema pellirubrum DSM 15624,797303,Complete Genome,representative genome,0.305468829,10,0.233685383,22,96.49277211,0.523834906,4354100,4354100,64.0,4365,4167,61
GCF_000148385.1,Archaea,archaea,Vulcanisaeta distributa DSM 14429,572478,Complete Genome,representative genome,0.364761289,8,0.070095276,21,99.633800693,0.160697075,2374137,2374137,45.5,2570,2502,50
GCF_002906575.1,Archaea,archaea,Salinigranum rubrum,755307,Complete Genome,representative genome,0.312163399,9,0.086804145,22,99.351396503,0.239532182,4973118,4973118,65.5,5069,4733,57
GCF_000092185.1,Archaea,archaea,Thermosphaera aggregans DSM 11486,633148,Complete Genome,representative genome,0.295712334,8,0.063419146,20,99.851204944,0.245264156,1316595,1316595,46.5,1459,1402,50
GCF_021249345.1,Archaea,archaea,Halobacterium wangiae,2902623,Complete Genome,representative genome,0.313125598,9,0.07224734,21,99.55089272,0.303273658,3112195,3112195,67.5,3318,3256,52
GCF_004126515.1,Archaea,archaea,Halorubrum ezzemoulense,337243,Complete Genome,representative genome,0.259951113,9,0.200909574,21,96.983633359,0.290049559,3726301,3726301,66.5,3749,3547,82
GCF_000191585.1,Archaea,archaea,Methanobacterium lacus,877455,Complete Genome,representative genome,0.170610989,9,0.078841545,21,99.586025336,0.371511763,2583753,2583753,36.0,2566,2503,51
GCF_000007065.1,Archaea,archaea,Methanosarcina mazei Go1,192952,Complete Genome,representative genome,0.272946505,9,0.244568895,21,95.900397527,0.29247849,4096345,4096345,41.5,3504,3364,68
GCF_024362405.1,Archaea,archaea,Halorarius litoreus,2962676,Complete Genome,representative genome,0.30486119,9,0.082685113,21,99.36298962,0.260765497,4167635,4167635,66.5,4388,4303,53
GCF_001886955.1,Archaea,archaea,Halodesulfurarchaeum formicicum,1873524,Complete Genome,representative genome,0.275276697,9,0.082649963,20,99.450411951,0.411322015,2085946,2085946,63.5,2187,2127,51
GCF_000018465.1,Archaea,archaea,Nitrosopumilus maritimus SCM1,436308,Complete Genome,representative genome,0.226001486,9,0.144931974,20,98.693320545,0.444688804,1645259,1645259,34.0,1973,1923,48
GCF_000015225.1,Archaea,archaea,Thermofilum pendens Hrk 5,368408,Complete Genome,representative genome,0.299138668,9,0.109117927,20,99.158520156,0.475938817,1813393,1813393,57.5,1972,1915,48
GCF_025914035.1,Archaea,archaea,Methanoculleus submarinus,204050,Complete Genome,representative genome,0.297944728,9,0.139884739,21,98.813722998,0.385547073,2462514,2462514,62.0,2503,2446,53
GCF_000022545.1,Archaea,archaea,Thermococcus sibiricus MM 739,604354,Complete Genome,representative genome,0.216948804,9,0.068444651,20,99.601577653,0.468229669,1845800,1845800,40.0,2051,1959,52
GCF_024498335.1,Archaea,archaea,Halobellus ramosii,1379040,Complete Genome,representative genome,0.307253692,9,0.116285217,21,98.878874586,0.341730793,2853958,2853958,64.0,2907,2807,57
GCF_000875775.1,Archaea,archaea,Nitrosopumilus piranensis,1582439,Complete Genome,representative genome,0.197174646,9,0.099344792,20,99.350284696,0.440575107,1713078,1713078,34.0,2160,2107,48
GCF_000253055.1,Archaea,archaea,Thermoproteus tenax Kra 1,768679,Complete Genome,representative genome,0.327007191,8,0.104498499,20,99.157001654,0.193808216,1841542,1841542,55.0,2117,2039,49
GCF_002952775.1,Archaea,archaea,Halalkaliarchaeum desulfuricum,2055893,Complete Genome,representative genome,0.312834092,9,0.138287653,21,98.389181851,0.318054861,3313120,3313120,63.0,3357,3232,55
GCF_014876775.1,Archaea,archaea,Infirmifilum lucidum,2776706,Complete Genome,representative genome,0.288210546,8,0.096070097,20,99.581443525,0.210781667,1625846,1625846,54.0,1824,1770,49
GCF_000023985.1,Archaea,archaea,Methanocaldococcus fervens AG86,573064,Complete Genome,representative genome,0.209433725,9,0.091212902,20,99.477511775,0.444285973,1507251,1507251,32.0,1662,1595,45
GCF_024298865.1,Archaea,archaea,Halorarius halobius,2962671,Complete Genome,representative genome,0.290356944,9,0.074488487,22,99.494320597,0.256742512,4399335,4399335,67.0,4564,4469,52
GCF_002787055.1,Archaea,archaea,Candidatus Nitrosotenuis aquarius,1846278,Complete Genome,representative genome,0.276645979,8,0.081463071,20,99.489154701,0.206746913,1697207,1697207,42.0,2041,1986,50
GCF_024662215.1,Archaea,archaea,Methanoplanus endosymbiosus,33865,Complete Genome,representative genome,0.360306932,9,0.292461468,21,94.135662346,0.337325346,3163021,3163021,42.5,2934,2848,77
GCF_020150815.1,Archaea,archaea,Haloprofundus salilacus,2876190,Complete Genome,representative genome,0.329828651,9,0.061497161,21,99.640848229,0.29403313,3727714,3727714,64.0,3779,3665,59
GCF_000813245.1,Archaea,archaea,Thermofilum adornatum 1505,697581,Complete Genome,representative genome,0.272054576,8,0.072769727,20,99.652542228,0.198841858,1754190,1754190,46.5,1952,1899,48
GCF_000017945.1,Archaea,archaea,Ignicoccus hospitalis KIN4/I,453591,Complete Genome,representative genome,0.37891082,8,0.084661836,20,99.502435032,0.25034516,1297538,1297538,56.5,1531,1473,53
GCF_004799645.1,Archaea,archaea,Natronorubrum bangense,61858,Complete Genome,representative genome,0.336350691,9,0.122222567,22,98.753373509,0.273976572,4382412,4382412,60.5,4347,4178,83
GCF_023028345.1,Archaea,archaea,Halorientalis marina,2931976,Complete Genome,representative genome,0.274492996,10,0.240283373,22,94.31903683,0.496556435,4754137,4754137,65.5,4833,4686,58
GCF_002906215.1,Archaea,archaea,Candidatus Nitrosocaldus islandicus,2045011,Complete Genome,representative genome,0.516977898,9,0.144399592,20,98.990400489,0.439787782,1617394,1617394,41.5,1759,1708,49
GCF_024498175.1,Archaea,archaea,Haloplanus salinarum,1912324,Complete Genome,representative genome,0.284346182,9,0.121294009,21,98.831980443,0.293490726,3450905,3450905,67.0,3626,3506,56
GCF_002761295.1,Archaea,archaea,Methanohalophilus portucalensis,39664,Chromosome,representative genome,0.250579255,9,0.123278642,20,98.757326181,0.440475743,2084975,2084275,42.0,2161,2080,58
GCF_000147875.1,Archaea,archaea,Methanolacinia petrolearia DSM 11571,679926,Complete Genome,representative genome,0.404135408,8,0.126647515,21,98.603685193,0.139978365,2843290,2843290,47.5,2857,2792,57
GCF_001305655.1,Archaea,archaea,Halanaeroarchaeum sulfurireducens,1604004,Complete Genome,representative genome,0.27813937,9,0.112192647,21,99.005174265,0.40192508,2253500,2253500,63.0,2329,2247,52
GCF_000024305.1,Archaea,archaea,Sulfolobus islandicus L.D.8.5,425944,Chromosome,representative genome,0.131165196,10,0.271125247,21,95.092806205,0.651071745,2748647,2748637,35.5,3090,2846,51
GCF_024300625.1,Archaea,archaea,Halovivax gelatinilyticus,2961597,Complete Genome,representative genome,0.359369813,9,0.164133069,21,97.401292598,0.294730855,3700630,3700630,63.0,3546,3461,49
GCF_008245085.1,Archaea,archaea,Pyrococcus furiosus DSM 3638,186497,Complete Genome,representative genome,0.257047464,9,0.162359183,20,98.620504642,0.457276749,1889914,1889914,41.0,2123,2015,68
GCF_000025685.1,Archaea,archaea,Haloferax volcanii DS2,309800,Complete Genome,representative genome,0.323647332,10,0.25257195,21,97.098879958,0.511343804,4012900,4012900,65.5,4065,3895,61
GCF_000230715.2,Archaea,archaea,Natronobacterium gregoryi SP2,797304,Complete Genome,representative genome,0.356140299,9,0.261994114,21,96.423494754,0.293025971,3788356,3788356,62.0,3756,3585,60
GCF_000091665.1,Archaea,archaea,Methanocaldococcus jannaschii DSM 2661,243232,Complete Genome,representative genome,0.220485939,9,0.144460662,20,98.782801947,0.397487337,1739927,1739912,31.5,1904,1818,45
GCF_000385565.1,Archaea,archaea,Archaeoglobus sulfaticallidus PM70-1,387631,Complete Genome,representative genome,0.302280499,9,0.111844328,20,99.052246341,0.438184171,2076931,2076931,43.0,2314,2239,56
GCF_000299365.1,Archaea,archaea,Candidatus Nitrosopumilus koreensis AR1,1229908,Complete Genome,representative genome,0.199603116,9,0.078072093,20,99.532666969,0.45270939,1639964,1639964,34.0,2058,2000,47
GCF_003852155.1,Archaea,archaea,Saccharolobus solfataricus,2287,Complete Genome,representative genome,0.161804604,10,0.399179506,21,90.815046279,0.655131819,2658139,2658139,36.0,2922,2633,51
GCF_024298885.1,Archaea,archaea,Haloglomus halophilum,2962672,Complete Genome,representative genome,0.276402089,9,0.089976466,22,99.312537762,0.248326202,4445689,4445689,68.0,4334,4236,51
GCF_000011125.1,Archaea,archaea,Aeropyrum pernix K1,272557,Complete Genome,representative genome,0.32372709,8,0.086286852,20,99.55674035,0.208992672,1669696,1669696,56.5,1762,1706,51
GCF_013401515.1,Archaea,archaea,Halobaculum halophilum,2743090,Complete Genome,representative genome,0.291267681,9,0.066995202,22,99.578342051,0.258366806,4277959,4277959,67.0,4352,4223,73
GCF_013340765.1,Archaea,archaea,Conexivisphaera calida,1874277,Complete Genome,representative genome,0.249981287,9,0.144582373,20,98.127151194,0.489455395,1593902,1593902,62.0,1661,1606,51
GCF_025397995.1,Archaea,archaea,Methanothermobacter wolfeii,145261,Complete Genome,representative genome,0.515149089,8,0.151088807,20,98.468668794,0.20543507,1706705,1706705,48.5,1887,1822,49
GCF_002214585.1,Archaea,archaea,Thermococcus profundus,49899,Complete Genome,representative genome,0.402885522,8,0.075993197,20,99.615682616,0.179820405,2043143,2043143,53.0,2172,2111,52
GCF_000969885.1,Archaea,archaea,Methanosarcina thermophila TM-1,523844,Complete Genome,representative genome,0.233691897,9,0.1836781,21,97.848345257,0.348689999,3127379,3127377,41.0,2803,2701,68
GCF_020097815.1,Archaea,archaea,Haloprofundus salinisoli,2876193,Complete Genome,representative genome,0.331886405,9,0.06014682,21,99.665399262,0.304930227,3421753,3421753,64.5,3524,3424,65
GCF_020886315.1,Archaea,archaea,Saccharolobus caldissimus,1702097,Complete Genome,representative genome,0.123639121,10,0.231147407,21,96.449836692,0.604292337,3075795,3075795,33.0,3349,3160,51
GCF_019880225.1,Archaea,archaea,Halobaculum rubrum,2872158,Complete Genome,representative genome,0.293769603,9,0.166510704,21,97.236993993,0.296758153,3058052,3058052,68.5,3107,3028,54
GCF_000591055.1,Archaea,archaea,Natronomonas moolapensis 8.8.11,268739,Complete Genome,representative genome,0.281566608,9,0.206426753,21,96.671373877,0.341093791,2912573,2912573,64.5,2941,2826,50
GCF_020097835.1,Archaea,archaea,Haloprofundus halobius,2876194,Complete Genome,representative genome,0.332150052,9,0.059837253,21,99.663620239,0.282470239,3947132,3947132,64.0,4073,3925,59
GCF_000008265.1,Archaea,archaea,Picrophilus oshimae DSM 9789,1122961,Complete Genome,representative genome,0.236494013,9,0.093152207,20,99.621379478,0.47518581,1545895,1545895,36.0,1632,1574,52
GCF_902384015.1,Archaea,archaea,Methanosphaera stadtmanae,2317,Complete Genome,representative genome,0.149517017,9,0.221492238,20,96.272907457,0.367546041,1767403,1767403,27.5,1601,1543,55
GCF_021233435.1,Archaea,archaea,Halobacterium noricense,223182,Complete Genome,representative genome,0.290818395,9,0.219216163,21,96.239582746,0.315044942,3316796,3316796,65.0,3553,3416,54
GCF_022870485.1,Archaea,archaea,Halococcus dombrowskii,179637,Complete Genome,representative genome,0.314539452,10,0.279043106,21,93.942209243,0.558563798,3965466,3965466,62.0,4056,3871,66
GCF_013343295.1,Archaea,archaea,Metallosphaera tengchongensis,1532350,Complete Genome,representative genome,0.259548695,8,0.12815854,21,99.203032601,0.170949033,2176897,2176897,45.0,2310,2227,52
GCF_000011185.1,Archaea,archaea,Thermoplasma volcanium GSS1,273116,Complete Genome,representative genome,0.122342865,9,0.118855554,20,98.720393442,0.515446986,1584804,1584804,40.0,1653,1583,51
GCF_010692905.1,Archaea,archaea,Haloferax alexandrinus,114529,Complete Genome,representative genome,0.325641385,9,0.096092429,21,99.322891657,0.283736328,3706983,3706982,66.0,3761,3664,60
GCF_024498195.1,Archaea,archaea,Halovivax cerinus,1487865,Complete Genome,representative genome,0.322225393,9,0.112270512,21,99.034856572,0.278972631,3902757,3902757,65.0,3700,3602,50
